# Index: time, region
# Unit: %

year,EU,US,OT,EE,CA,IA,AF,LA
2009,99.66826317,99.66826317,99.66826317,103.5157516,101.3774817,101.3774817,101.4589407,101.4589407
2010,99.33652635,99.33652635,99.33652635,107.0315032,102.7549634,102.7549634,102.9178814,102.9178814
2020,96.23870909,96.23870909,96.23870909,113.3510121,121.1454145,121.1454145,124.300189,124.300189
2030,88.79666007,88.79666007,88.79666007,103.3907556,135.2115444,135.2115444,134.2489979,134.2489979
2040,81.35461105,81.35461105,81.35461105,93.43049903,149.2776743,149.2776743,144.1978068,144.1978068
2050,75.19477321,75.19477321,75.19477321,84.49990746,139.5487706,139.5487706,143.1330498,143.1330498
2075,65.03021467,65.03021467,65.03021467,71.24340878,106.1301997,106.1301997,128.6200615,128.6200615
2100,59.16947601,59.16947601,59.16947601,63.18214747,83.26609879,83.26609879,98.85596861,98.85596861
2150,59.16947601,59.16947601,59.16947601,63.18214747,83.26609879,83.26609879,98.85596861,98.85596861
2200,59.16947601,59.16947601,59.16947601,63.18214747,83.26609879,83.26609879,98.85596861,98.85596861
