# Index: time, region
# Unit:

year,EU,US,OT,EE,CA,IA,AF,LA
2009,100.75120139415134,100.75120139415134,100.75120139415134,102.83658866874177,104.04252601724329,104.04252601724329,104.06312052288641,104.06312052288641
2010,101.50240278830266,101.50240278830266,101.50240278830266,105.67317733748352,108.08505203448657,108.08505203448657,108.12624104577282,108.12624104577282
2020,104.11875648448671,104.11875648448671,104.11875648448671,96.99652554917652,138.18598950461634,138.18598950461634,140.2154731358692,140.2154731358692
2030,102.25388606547672,102.25388606547672,102.25388606547672,95.15232807982983,162.8277615836298,162.8277615836298,166.03514703490356,166.03514703490356
2040,100.38901564646673,100.38901564646673,100.38901564646673,93.30813061048315,187.46953366264327,187.46953366264327,191.8548209339379,191.8548209339379
2050,95.20979841362629,95.20979841362629,95.20979841362629,87.87480366171874,193.900507478291,193.9005074782911,205.64195140049364,205.64195140049364
2075,81.39276748757291,81.39276748757291,81.39276748757291,73.886382392039,199.56883693984733,199.56883693984736,212.19803433500977,212.19803433500977
2100,67.96190412149717,67.96190412149717,67.96190412149717,63.38250437784072,181.5998942055161,181.5998942055161,183.3803169842978,183.3803169842978
2150,67.96190412149717,67.96190412149717,67.96190412149717,63.38250437784072,181.5998942055161,181.5998942055161,183.3803169842978,183.3803169842978
2200,67.96190412149717,67.96190412149717,67.96190412149717,63.38250437784072,181.5998942055161,181.5998942055161,183.3803169842978,183.3803169842978
