# Index: time, region
# Unit:

year,EU,US,OT,EE,CA,IA,AF,LA
2009,99.83350919499287,99.83350919499287,99.83350919499287,100.191208470253,100.28713025991391,100.28713025991391,99.86486600691231,99.86486600691231
2010,99.66701838998573,99.66701838998573,99.66701838998573,100.38241694050602,100.5742605198278,100.5742605198278,99.72973201382462,99.72973201382462
2020,102.76504498212294,102.76504498212294,102.76504498212294,102.98338758736169,101.6249235885288,101.6249235885288,100.45374398066953,100.45374398066953
2030,100.69239064879683,100.69239064879683,100.69239064879683,102.78428091863782,106.08144944182257,106.08144944182257,103.70510067976102,103.70510067976102
2040,98.61973631547072,98.61973631547072,98.61973631547072,102.58517424991393,110.53797529511633,110.53797529511633,106.95645737885252,106.95645737885252
2050,96.29052388211613,96.29052388211613,96.29052388211613,99.68656080705799,111.05204261502043,111.05204261502043,108.9032967269227,108.9032967269227
2075,90.43512584748454,90.43512584748454,90.43512584748454,92.83633538298132,110.39658695559311,110.39658695559311,110.88057053055684,110.88057053055684
2100,85.77486906530196,85.77486906530196,85.77486906530196,89.45245241929119,110.47441305822622,110.47441305822622,111.76981889816032,111.76981889816032
2150,85.77486906530196,85.77486906530196,85.77486906530196,89.45245241929119,110.47441305822622,110.47441305822622,111.76981889816032,111.76981889816032
2200,85.77486906530196,85.77486906530196,85.77486906530196,89.45245241929119,110.47441305822622,110.47441305822622,111.76981889816032,111.76981889816032
