# Index: time, region
# Units: %

year,EU,US,OT,EE,CA,IA,AF,LA
2009,99.77433844,99.77433844,99.77433844,103.6259217,101.4853761,101.4853761,101.5669217,101.5669217
2010,99.53999885,99.53999885,99.53999885,107.2507374,102.965438,102.965438,103.1286896,103.1286896
2020,95.93444728,95.93444728,95.93444728,112.9926492,120.7624094,120.7624094,123.9072099,123.9072099
2030,93.4760097,93.4760097,93.4760097,108.8391755,142.336836,142.336836,141.3235658,141.3235658
2040,80.37968499,80.37968499,80.37968499,92.31085962,147.4887813,147.4887813,142.4697892,142.4697892
2050,76.94237493,76.94237493,76.94237493,86.46376981,142.7920236,142.7920236,146.459605,146.459605
2075,62.96424458,62.96424458,62.96424458,68.98004933,102.7585083,102.7585083,124.533881,124.533881
2100,57.83890904,57.83890904,57.83890904,61.761346,81.3936617,81.3936617,96.63295608,96.63295608
2150,57.83890904,57.83890904,57.83890904,61.761346,81.3936617,81.3936617,96.63295608,96.63295608
2200,57.83890904,57.83890904,57.83890904,61.761346,81.3936617,81.3936617,96.63295608,96.63295608
