# Index: time, region
# Unit: %

year,EU,US,OT,EE,CA,IA,AF,LA
2009,99.58645581821467,99.58645581821467,99.58645581821467,101.64773473907252,102.83973071345554,102.83973071345554,102.86008713400383,102.86008713400383
2010,100.33195783671654,100.33195783671654,100.33195783671654,104.454638332149,106.83870120908259,106.83870120908259,106.87941526146152,106.87941526146152
2020,102.24459771535163,102.24459771535163,102.24459771535163,95.25056838380537,135.69861362013512,135.69861362013512,137.6915661337224,137.6915661337224
2030,103.61845775433672,103.61845775433672,103.61845775433672,96.42212992328945,165.00068783774975,165.00068783774975,168.25087564647396,168.25087564647396
2040,98.0763252864957,98.0763252864957,98.0763252864957,91.15856461683177,183.15074459495588,183.15074459495588,187.43500675376472,187.43500675376472
2050,97.26126412884864,97.26126412884864,97.26126412884864,89.76822377128292,198.0784413662279,198.078441366228,210.07287573746981,210.07287573746981
2075,79.70504748959918,79.70504748959918,79.70504748959918,72.35431106690538,195.430676665015,195.43067666501503,207.7980012960473,207.7980012960473
2100,66.01811972170107,66.01811972170107,66.01811972170107,61.56969579305763,176.40593965223795,176.40593965223795,178.135440402463,178.135440402463
2150,66.01811972170107,66.01811972170107,66.01811972170107,61.56969579305763,176.40593965223795,176.40593965223795,178.135440402463,178.135440402463
2200,66.01811972170107,66.01811972170107,66.01811972170107,61.56969579305763,176.40593965223795,176.40593965223795,178.135440402463,178.135440402463
