# Index: time, region
# Unit: %

year,EU,US,OT,EE,CA,IA,AF,LA
2009,103.34352169441709,103.34352169441709,103.34352169441709,103.6765487994021,106.35467939271511,106.35467939271511,107.61971843407929,107.61971843407929
2010,106.68704338883418,106.68704338883418,106.68704338883418,107.3530975988042,112.70935878543023,112.70935878543023,115.23943686815859,115.23943686815859
2020,96.8758961687229,96.8758961687229,96.8758961687229,184.17706299250798,234.43739996280388,234.43739996280388,236.19594623922265,236.19594623922265
2030,100.85034234321378,100.85034234321378,100.85034234321378,266.46567829543955,451.9110124172696,451.9110124172696,478.85717300527426,478.85717300527426
2040,104.82478851770465,104.82478851770465,104.82478851770465,348.75429359837113,669.3846248717354,669.3846248717354,721.5183997713259,721.5183997713259
2050,108.75556191500952,108.75556191500952,108.75556191500952,361.2012218891292,909.9945229812595,909.9945229812595,877.7761641194373,877.7761641194373
2075,117.47684926713201,117.47684926713201,117.47684926713201,368.1807477794283,1108.0138156849926,1108.0138156849926,1006.929628071476,1006.929628071476
2100,126.29835263284434,126.29835263284434,126.29835263284434,334.182643024386,1029.2620872302932,1029.2620872302932,952.4994860298528,952.4994860298528
2150,126.29835263284434,126.29835263284434,126.29835263284434,334.182643024386,1029.2620872302932,1029.2620872302932,952.4994860298528,952.4994860298528
2200,126.29835263284434,126.29835263284434,126.29835263284434,334.182643024386,1029.2620872302932,1029.2620872302932,952.4994860298528,952.4994860298528
