# Index: time, region
# Unit: %

year,EU,US,OT,EE,CA,IA,AF,LA
2009,99.98021348120336,99.98021348120336,99.98021348120336,100.3384383917665,100.43450113748311,100.43450113748311,100.01161637162637,100.01161637162637
2010,99.85506985505923,99.85506985505923,99.85506985505923,100.57181821766089,100.76402376693761,100.76402376693761,99.91790180679668,99.91790180679668
2020,103.19649162174149,103.19649162174149,103.19649162174149,103.41575091205863,102.05158356606678,102.05158356606678,100.87548690196247,100.87548690196247
2030,101.66818694356678,101.66818694356678,101.66818694356678,103.78034943816303,107.1094703741113,107.1094703741113,104.71009273864472,104.71009273864472
2040,98.26094717360222,98.26094717360222,98.26094717360222,102.21195842098678,110.13582632593688,110.13582632593688,106.56733835466962,106.56733835466962
2050,96.46338620247677,96.46338620247677,96.46338620247677,99.86551974834464,111.25140505478367,111.25140505478367,109.0988017029906,109.0988017029906
2075,88.60069646127482,88.60069646127482,88.60069646127482,90.95319871303552,108.15724973622406,108.15724973622406,108.63141595665837,108.63141595665837
2100,83.63491068486226,83.63491068486226,83.63491068486226,87.22074367649135,107.71823693549587,107.71823693549587,108.98132428152324,108.98132428152324
2150,83.63491068486226,83.63491068486226,83.63491068486226,87.22074367649135,107.71823693549587,107.71823693549587,108.98132428152324,108.98132428152324
2200,83.63491068486226,83.63491068486226,83.63491068486226,87.22074367649135,107.71823693549587,107.71823693549587,108.98132428152324,108.98132428152324
