# Index: time, region
# Units: %/year
# Notes: GDP Growth Rate.  Year given as end of period (e.g., first is 2008 - 2009)
year,EU,US,OT,EE,CA,IA,AF,LA
2009,1.9,1.9,1.9,3.4,4.3,4.4,5.0,5.0
2010,1.9,1.9,1.9,3.4,4.3,4.4,5.0,5.0
2020,1.9,1.9,1.9,3.4,4.3,4.4,5.0,5.0
2030,1.9,1.9,1.9,3.4,4.3,4.4,5.0,5.0
2040,1.9,1.9,1.9,3.4,4.3,4.4,5.0,5.0
2050,1.7,1.7,1.7,3.0,2.6,2.6,3.0,3.0
2075,1.7,1.7,1.7,3.0,2.6,2.6,3.0,3.0
2100,1.7,1.7,1.7,3.0,2.6,2.6,3.0,3.0
2150,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
2200,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
