# Index: time, region
# Unit:

year,EU,US,OT,EE,CA,IA,AF,LA
2009,1.8513451739717566,1.876747660632175,1.876747660632175,3.3666472621128776,4.318069651343691,4.393278090606782,5.035523581126829,5.035523581126829
2010,1.8513451739717566,1.876747660632175,1.876747660632175,3.3666472621128776,4.318069651343691,4.393278090606782,5.035523581126829,5.035523581126829
2020,1.8513451739717566,1.876747660632175,1.876747660632175,3.3666472621128776,4.318069651343691,4.393278090606782,5.035523581126829,5.035523581126829
2030,1.8513451739717566,1.876747660632175,1.876747660632175,3.3666472621128776,4.318069651343691,4.393278090606782,5.035523581126829,5.035523581126829
2040,1.8513451739717566,1.876747660632175,1.876747660632175,3.3666472621128776,4.318069651343691,4.393278090606782,5.035523581126829,5.035523581126829
2050,1.666210656574581,1.6890728945689575,1.6890728945689575,3.0299825359015897,2.590841790806215,2.635966854364069,3.021314148676097,3.021314148676097
2075,1.666210656574581,1.6890728945689575,1.6890728945689575,3.0299825359015897,2.590841790806215,2.635966854364069,3.021314148676097,3.021314148676097
2100,1.666210656574581,1.6890728945689575,1.6890728945689575,3.0299825359015897,2.590841790806215,2.635966854364069,3.021314148676097,3.021314148676097
2150,1.666210656574581,1.666210656574581,1.666210656574581,1.666210656574581,1.666210656574581,1.666210656574581,1.666210656574581,1.666210656574581
2200,1.666210656574581,1.666210656574581,1.666210656574581,1.666210656574581,1.666210656574581,1.666210656574581,1.666210656574581,1.666210656574581
