# Index: time, region
# Unit:

year,EU,US,OT,EE,CA,IA,AF,LA
2009,93.09138267426003,93.09138267426003,93.09138267426003,101.0992435494652,104.10219137766713,104.10219137766713,104.10219137766713,104.10219137766713
2010,87.27994236331456,87.27994236331456,87.27994236331456,101.8056884979027,108.54310347627468,108.54310347627468,107.63409282017065,107.63409282017068
2020,60.70239246800408,60.70239246800408,60.70239246800408,90.03893597691754,139.8690451300089,139.8690451300089,136.38487883090406,136.38487883090409
2030,60.351728674350596,60.351728674350596,60.351728674350596,65.55446390489806,98.85196938040184,98.85196938040184,200.82557989913215,169.60916851584736
2040,55.79952878119551,55.79952878119551,55.79952878119551,35.598576152727425,51.10005070735755,51.10005070735755,191.24424375637008,191.24424375637008
2050,60.79130099536814,60.79130099536814,60.79130099536814,28.999123474636576,39.03728160047231,39.03728160047231,191.84035529374967,191.84035529374967
2075,46.990288309899924,46.990288309899924,46.990288309899924,13.425796659971407,17.26173856282038,17.26173856282038,89.18564924123864,89.18564924123864
2100,40.68248403390272,40.68248403390272,40.68248403390272,13.006468670275105,16.48732062966386,16.487320629663856,64.85250514291684,64.85250514291684
2150,40.68248403390272,40.68248403390272,40.68248403390272,13.006468670275105,16.48732062966386,16.487320629663856,64.85250514291684,64.85250514291684
2200,40.68248403390272,40.68248403390272,40.68248403390272,13.006468670275105,16.48732062966386,16.487320629663856,64.85250514291684,64.85250514291684
