# Index: time, region
# Unit: %

year,EU,US,OT,EE,CA,IA,AF,LA
2009,99.77433843818054,99.77433843818054,99.77433843818054,103.62592167810969,101.4853760681948,101.4853760681948,101.5669217473945,101.5669217473945
2010,99.53999885168334,99.53999885168334,99.53999885168334,107.25073743344716,102.96543796249517,102.96543796249517,103.12868963735525,103.12868963735525
2020,95.93444727770688,95.93444727770688,95.93444727770688,112.99264918277227,120.76240937822003,120.76240937822003,123.90720994992368,123.90720994992368
2030,93.4760097009135,93.4760097009135,93.4760097009135,108.83917550897664,142.33683597938278,142.33683597938278,141.32356581051357,141.32356581051357
2040,80.37968498690279,80.37968498690279,80.37968498690279,92.31085961892477,147.488781317997,147.488781317997,142.46978921673713,142.46978921673713
2050,76.9423749266498,76.9423749266498,76.9423749266498,86.46376980604701,142.792023552364,142.792023552364,146.45960503722418,146.45960503722418
2075,62.96424458101536,62.96424458101536,62.96424458101536,68.98004932893691,102.75850825730954,102.75850825730954,124.53388095734,124.53388095734
2100,57.838909037890815,57.838909037890815,57.838909037890815,61.761345998136015,81.39366170121725,81.39366170121725,96.63295607544754,96.63295607544754
2150,57.838909037890815,57.838909037890815,57.838909037890815,61.761345998136015,81.39366170121725,81.39366170121725,96.63295607544754,96.63295607544754
2200,57.838909037890815,57.838909037890815,57.838909037890815,61.761345998136015,81.39366170121725,81.39366170121725,96.63295607544754,96.63295607544754
