# Index: time, region
# Unit: %

year,EU,US,OT,EE,CA,IA,AF,LA
2009,99.77423238519106,99.77423238519106,99.77423238519106,103.626077976969,101.48538118655794,101.48538118655794,101.56693237861406,101.56693237861406
2010,99.53976031845804,99.53976031845804,99.53976031845804,107.25108677989542,102.96544982678193,102.96544982678193,103.12871386483334,103.12871386483334
2020,90.14149837547915,86.20769193485192,78.64521755052266,94.09220500269682,110.85425573435779,133.44638456012515,121.03768096378245,103.96914919216825
2030,59.03303134695389,56.00197770528429,47.180561396573495,56.88641390694639,72.95100923793525,99.43436189789901,87.23969952661956,66.04494843066705
2040,31.638065319733666,29.336861174840088,18.852710323542794,23.444005113473114,39.62297868981266,71.20695078325134,58.61813361386559,32.3551679555692
2050,29.70369230936929,28.55766491429212,15.982890352863196,20.05865744424432,33.22383908909918,69.8802810107705,59.811976980767795,27.847852818400455
2075,30.16153581828225,32.701047844608844,14.18480623283792,17.529032091966112,26.0673476319233,70.61269451918854,67.86447613230244,24.855180110437274
2100,33.951421700328076,41.74991599252703,15.59095898017833,18.185102372778744,21.57334894968598,65.16133204537245,71.39735750917421,24.884235046868024
2150,33.951421700328076,41.74991599252703,15.59095898017833,18.185102372778744,21.57334894968598,65.16133204537245,71.39735750917421,24.884235046868024
2200,33.951421700328076,41.74991599252703,15.59095898017833,18.185102372778744,21.57334894968598,65.16133204537245,71.39735750917421,24.884235046868024
