"algorithm","mcperlife","samplemult","CO21","CO22","CO23","CO24","CO25","CO26","CO27","CO28","CO29","CO210","CH41","CH42","CH43","CH44","CH45","CH46","CH47","CH48","CH49","CH410","N2O1","N2O2","N2O3","N2O4","N2O5","N2O6","N2O7","N2O8","N2O9","N2O10","LG1","LG2","LG3","LG4","LG5","LG6","LG7","LG8","LG9","LG10"
"social",5,1,84.46925331518061,83.47840998207688,83.3974568568899,79.4183427733558,79.41432820979117,73.44572790447786,61.01144241321382,39.38739395704846,0.5593963796496698,0.00034224787008993885,84.46925331518061,83.47840998207688,83.3974568568899,79.4183427733558,79.41432820979117,73.44572790447786,61.01144241321382,39.38739395704846,0.5593963796496698,0.00034224787008993885,84.46925331518061,83.47840998207688,83.3974568568899,79.4183427733558,79.41432820979117,73.44572790447786,61.01144241321382,39.38739395704846,0.5593963796496698,0.00034224787008993885,84.46925331518061,83.47840998207688,83.3974568568899,79.4183427733558,79.41432820979117,73.44572790447786,61.01144241321382,39.38739395704846,0.5593963796496698,0.00034224787008993885
"biological",5,1,84.4641785780009,83.54626779347424,83.40325069219047,79.42036414287871,79.42590514114349,73.46699454027633,61.048274814422754,39.42518743401313,0.6368068741358048,1.9491203991743825e-11,91.50920266275392,90.38391958449304,90.79232954737816,85.2257980556068,88.7470789419771,81.29429369208454,65.8356846477875,37.27502552092755,2.649421268738956e-11,1.0647261535195759e-11,84.64745593935704,81.20437331488269,76.04681898940865,69.34277010173444,61.24066485342238,53.426003359381355,27.151359770624005,1.3478813366547162,6.210477185263165e-11,1.4739194757108497e-10,79.65970922028075,75.65431551812972,73.96185118201376,69.03773869250742,59.17304141054432,51.25557022481269,16.25998540558596,2.005709580696681e-12,1.6345847699034578e-11,1.454594881919695e-10
"sampled",5,1,84.46554456698775,83.54606900878004,83.40156596327263,79.4207148031537,79.4269659690981,73.46702204810227,61.04877510601694,39.42537541244536,0.6390872566853137,6.680555764350394e-19,91.5092840213458,90.38450463340908,90.7926636696264,85.2270427648305,88.74695718110281,81.29476016419964,65.8355608683197,37.275177046340765,2.0747292772682624e-17,2.8823339617193717e-18,84.61139812777024,81.19663813447326,76.04001502329386,69.3452368195643,61.2421159364909,53.4253634378363,27.15019103704463,1.344574063277051,3.9925860126581946e-19,7.49509883083706e-18,79.65710814952921,75.6467548462612,73.96109173968492,69.03029448871905,59.172436325229675,51.2514919907358,16.260319940520358,1.1859478228108947e-18,5.640475384490736e-19,2.917573570977372e-19
"social",10,1,84.46788071279985,83.50129655385854,83.38216787699908,79.39948190721634,79.41134061617004,73.41002823765312,60.975224297348646,39.310539983467365,0.4681059486490468,0.0024856495977137985,91.5343703363485,90.45072293583644,90.80562242200267,85.26187664136889,88.70147015106568,81.35199162055756,65.9384069026157,37.3194894568548,0.2894128858995267,9.303915888264088,84.61474181962217,81.16837229404368,76.08829628942978,69.26183089838126,61.07281452766937,53.440650861112104,27.202483337872675,1.40469366097166,3.4431534282336744,0.007335195920960047,79.68886978727615,75.81546039672439,73.9074379571412,68.97881418273896,59.11504686977286,51.29150067708174,16.25008105361213,0.0005568073180558321,8.229662664290217e-5,0.004841754986514681
"biological",10,1,84.46417640588943,83.54626981275426,83.40325089054197,79.42036344224319,79.42590328945818,73.46699935329669,61.04827451277968,39.42517299832214,0.6368023464897685,8.884629281722321e-12,91.50921313278417,90.38392071709644,90.79233181401915,85.225800797202,88.74707197872628,81.2942795448647,65.83568337015134,37.27502048222598,2.939265916206874e-11,6.99972646377605e-12,84.6474561193991,81.20437561828928,76.04680343570121,69.34274122094627,61.24068231881967,53.425979048075384,27.15134049590411,1.3478816233414372,1.581531920758756e-12,9.516841000973634e-12,79.65973919149467,75.65428470095759,73.96184489849693,69.03774129346331,59.17304291661678,51.255564699085454,16.259991951284587,8.824575943961157e-12,2.797498584943442e-12,1.5132986622016975e-11
"sampled",10,1,84.46458201468836,83.54786442234693,83.403366597692,79.42047428407064,79.42592902245254,73.46747071054315,61.04774336274707,39.42603764904816,0.6374846046393395,1.0192829648729663e-17,91.50802748567602,90.38408414460825,90.79358876434387,85.22578783541333,88.74720796331749,81.29438932186146,65.83258185314972,37.27261906858737,2.961811928076183e-19,6.7094538336475096e-18,84.7113736477086,81.20401707992137,76.04836770006966,69.34337821961297,61.245487584668446,53.42775141398371,27.1543706578059,1.3447146337045244,6.204320221060396e-21,8.194631998712115e-17,79.62375101015975,75.64628751585242,73.96097415712505,69.03744918624771,59.175197188962635,51.25473517791226,16.25815121584071,2.107357921005385e-17,6.417073006963573e-20,3.730349362740572e-16
"social",5,2,84.47402154733221,83.53508095248372,83.40721047114282,79.40503321859694,79.44733824205163,73.44189525106187,61.00985168021789,39.28289214822366,0.31419727668561337,0.0011128161909951249,91.52700066627841,90.3808707769132,90.78270625615917,85.24345598648392,88.75554210239012,81.31397691831457,65.91443359334139,37.30666789140104,0.0013854318370218127,21.54029494086541,84.56701635612171,81.18889660452234,76.05708800465554,69.3351234340996,61.29302236209076,53.402047137104674,27.134896749144755,1.2900526864903277,0.00018850260022307557,0.0028269591515761223,79.6584288050172,75.70236607485357,73.90966003321527,69.02681349904199,59.131015999428534,51.1839551749793,16.180219489000333,6.502658224831912e-5,0.00036419491490139117,0.00038702261771439536
"biological",5,2,84.46418032861702,83.54627122829312,83.40325524174794,79.42036252116412,79.42590814077727,73.466995877283,61.04827534500797,39.425181930869094,0.6368041925846774,1.6400595695036986e-12,91.50921599423955,90.38391640320835,90.79233165534195,85.22580272702552,88.74707602840795,81.29429307139928,65.83568276097533,37.275015536602474,6.985405671784271e-11,1.5441733048873207e-14,84.64747610230273,81.20438232344432,76.04680419395052,69.34275203566762,61.24069302771592,53.425994716260305,27.151346758623475,1.347863670686486,6.854198393146342e-12,2.825501953601425e-11,79.6596562295589,75.6543002642738,73.96185141938851,69.03772785507884,59.17303687764204,51.25560271317821,16.25998205778055,1.7683766629767455e-12,3.0454731744520486e-11,1.747476115820311e-13
"sampled",5,2,84.46554456698775,83.54606900878007,83.40156596327263,79.42071480315369,79.4269659690981,73.46702204810228,61.04877510601698,39.425375412445405,0.6390872566853135,6.680555764350397e-19,91.50928402134576,90.38450463340908,90.79266366962642,85.22704276483049,88.74695718110284,81.29476016419964,65.83556086831976,37.27517704634079,2.074729277268261e-17,2.88233396171937e-18,84.61139812777023,81.19663813447326,76.04001502329386,69.34523681956438,61.242115936490855,53.42536343783628,27.150191037044618,1.3445740632770513,3.9925860126581913e-19,7.49509883083706e-18,79.65710814952918,75.6467548462612,73.96109173968492,69.03029448871911,59.172436325229675,51.251491990735786,16.260319940520343,1.1859478228108951e-18,5.640475384490732e-19,2.917573570977372e-19
"social",10,2,84.4566498963318,83.54899150351677,83.37273557635221,79.4215789227459,79.42927879463866,73.45221490027693,61.044777788210595,39.417262420339036,0.6248481755173244,3.639851139446782e-5,91.53269380917641,90.39079375377423,90.789102051947,85.21664537120013,88.74836996314333,81.30975578741887,65.83870822783308,37.26240565836233,0.0003715529242499594,4.6556267146425484e-5,84.67667396827518,81.20549866298677,76.04765012780148,69.33297189918586,61.2930659723653,53.47460212275376,27.123508006620007,1.3526553127071523,0.0009266813117182484,2.1490268294595896,79.61777122237262,75.69656420839851,73.99056929968644,69.04574425472877,59.17075863179695,51.25250461617605,16.220407032674874,0.00035316472481521094,0.0010743230672174825,4.098395437652988e-5
